; This Ascii PoiFile was generated on 29/07/2007 by PoiEdit, ©2002-2007 by Dnote Software (http://www.dnote.nl). All rights reserved.
4.6615, 43.5476, "[Roman-StMaur nv] 13 Montmajour (Abbaye Notre Dame de Montmajour)*"
4.7557, 44.3932, "[Roman nv] 26 La Garde Adhmar (Saint Michel de La Garde Adhmar)*"
4.7663, 44.3496, "[Roman nv] 26 Saint Paul des Trois Chateaux (Saint Paul Trois Chateaux)*"
5.074, 44.241, "[Roman nv] 84 Vaison la Romaine (Cathedrale N.D. de Nazareth de Vaison la Romaine)*"
4.806, 43.9486, "[Gothique nv] 84 Montfavet (Notre-Dame-de-Bon-Repos de Montfavet)*"
2.3827, 48.0362, "[Roman-Gothique nv] 45 Boiscommun (Notre Dame de Boiscommun)*"
4.806, 43.9486, "[Roman-Gothique nv] 84 Avignon (Palais des Papes)*"
0.8077, 44.9466, "[Roman nv] 24 Sainte Alvere (Sainte Alvere)*"
7.1513, 46.8025, "[Cistercien nv] CH FRIBOURG (Abbaye Notre Dame de la Maigrauge)*"
2.3577, 48.8543, "[Cistercien nv] 75 Paris (Maison d'Ourscamp)*"
6.4608, 46.6934, "[Roman nv] CH Romainmôtier (Abbaye de Romainmotier)*"
0.4323, 46.0729, "[Roman nv] 86 Châtain (Saint Pierre de Châtain)*"
0.6644, 46.445, "[Roman nv] 86 Civaux (Saint Gervais et Saint Protais de Civaux)*"
0.24197, 47.9908, "[Cistercien nv] 72 Yvré l'Evêque (Abbaye de l'Epau)*"
0.337, 46.1072, "[Roman nv] 86 Genouillé (Notre Dame de Genouillé)*"
0.54897, 46.1951, "[Roman-Augustinien nv] 86 Saint Martin de l'Ars (Abbaye de La Réau)*"
0.41054, 46.3769, "[Roman nv] 86 Saint Maurice la Clouère (Saint Maurice)*"
0.2704, 46.1502, "[Roman nv] 86 Saint Pierre d'Exideuil (Eglise de Saint Pierre d'Exideuil)*"
0.52907, 46.2786, "[Roman nv] 86 Usson de Poitou (Eglise d'Usson de Poitou)*"
2.0933, 48.9927, "[Gothique nv] 78 Conflans Sainte Honorine (Saint Maclou de Conflans Ste Honorine)*"
5.0864, 43.9159, "[Gothique nv] 84 Isle sur la Sorgue (Collégiale N.D. des Anges de l'Isle sur la Sorgue)*"
4.9639, 47.1781, "[Cistercien nv] 21 Vougeot (Clos Vougeot)*"
6.646, 46.8094, "[Roman nv] CH Grandson (St-Jean-Baptiste de Grandson)*"
4.5246, 47.2483, "[Médiéval nv] 21 Pouilly-en-Auxois (Châteaux de Châteauneuf)*"
-0.371, 45.6364, "[Roman nv] 16 Gimeux (Saint Pierre de Gimeux)*"
5.90749, 43.9982, "[Cistercien nv] 4 Ganagobie (Notre Dame de Ganagobie)*"
-0.2579, 45.6939, "[Roman-Augustinien nv] 16 Saint Brice (Notre Dame de Châtres)*"
-0.1381, 46.8264, "[Roman nv] 79 Airvault (Saint Pierre d'Airvault)*"
4.7966, 46.5476, "[Cluny nv] 71 BRancion (Saint Pierre de Brancion)*"
4.7368, 46.5566, "[Roman nv] 71 Chapaize (Saint Martin de Chapaize)*"
4.6582, 46.4337, "[Cistercien nv] 71 Cluny (Abbaye de Cluny)*"
4.338, 47.6252, "[Cistercien nv] 21 Montbard (Abbaye de Fontenay)*"
-0.1375, 46.8835, "[Roman nv] 79 Saint-Généroux (Saint-Généroux)*"
-0.0529, 46.8815, "[Roman nv] 79 Saint Jouin de Marnes (Saint Jouin de Marnes)*"
4.6287, 46.4197, "[Roman nv] 71 Jalogny (Eglises de Jalogny et Vaux)*"
5.7569, 43.607, "[Gothique nv] 83 Rians (Notre-Dame-de-Nazareth de Rians)*"
2.3595, 48.9337, "[Gothique nv] 93 Saint Denis (Basilique Saint Denis)*"
-0.2341, 47.337, "[Roman nv] 49 Trêves (Saint Aubin de Trêves)*"
-0.2341, 47.337, "[Roman nv] 49 Chenehutte-les-Tuffeaux (Notre Dame de la Prée des Tuffeaux)*"
0.0745, 47.2113, "[Roman-Post-Gothique nv] 37 Candes-Saint-Martin (Saint Martin de Candes-Saint-Martin)*"
