"Lieu";"Style";;"Type";"Nom";"Rank";"Département";"Source";"Lang";"Présentation";"URL"
"Saint Leu d'Esserent";;;"Abbaye";;"***";;;"US";"Architecture et intérieur";"http://www.beloit.edu/~arthist/historyofart/gothic/stleudesserent.htm"
"Senlis";;;"Cathédrale";;"***";"Oise (60)";;"FR";"Présentation et architecture";"http://architecture.reli2.free.fr/senlis.htm"
"Senlis";;;"Cathédrale";;"***";"Oise (60)";;"FR";"Art et Architecture";"http://www.beloit.edu/~arthist/historyofart/gothic/senlis.htm"
"Paris";;;"Chapelle";"Sainte";"***";"Paris (75)";;"FR";"Présentation et architecture";"http://architecture.relig.free.fr/chapelle.htm"
"Melle";;;"Eglise";"St Savinien et St Hilaire";;"Vienne (86)";;"FR";"Présentation et architecture";"http://www.art-roman.net/melle.htm"
"Saignes";"Cantal";;"Eglise";;;;"Cantal Roman";"FR";;"http://cantalroman.free.fr/Mauriacois/saignes.htm"
"Sauvat";"Cantal";;"Eglise";;;;"Cantal Roman";"FR";;"http://cantalroman.free.fr/Mauriacois/sauvat.htm"
"Lanobre";"Cantal";;"Eglise";;;;"Cantal Roman";"FR";;"http://cantalroman.free.fr/Mauriacois/lanobre.htm"
"Aurillac";"Cantal";;"Eglise";;;;"Cantal Roman";"FR";;"http://cantalroman.free.fr/Aurillacois/bromme.htm"
"Bromme";"Cantal";;"Eglise";;;;"Cantal Roman";"FR";;"http://cantalroman.free.fr/Aurillacois/bromme.htm"
"Gircols";"Cantal";;"Eglise";;;;"Cantal Roman";"FR";;"http://cantalroman.free.fr/Aurillacois/girgols.htm"
"Jou sous Monjou";"Cantal";;"Eglise";;;;"Cantal Roman";"FR";;"http://cantalroman.free.fr/Aurillacois/jou.htm"
"Alleuze";"Cantal";;"Eglise";;;;"Cantal Roman";"FR";;"http://cantalroman.free.fr/sanflorain/alleuze.htm"
"Roffiac";"Cantal";;"Eglise";;;;"Cantal Roman";"FR";;"http://cantalroman.free.fr/sanflorain/roffiac.htm"
"Sainte Anastasie";"Cantal";;"Eglise";;;;"Cantal Roman";"FR";;"http://cantalroman.free.fr/sanflorain/ste_anas.htm"
"Espallion";"Auvergne Rouergue Velay";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/rouergue.htm"
"Brioude ";"Auvergne Rouergue Velay";;"Eglise";"Saint Julien";;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/rouergue.htm"
"Brioude ";"Auvergne Rouergue Velay";;"Eglise";"Saint Julien";;;"Roman Romanesque";"FR";;"http://ourworld.compuserve.com/homepages/Henri_de_Feraudy/stjulien.htm"
"Clermont-Ferrand ";"Auvergne Rouergue Velay";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/clermont.htm"
"Conques";"Auvergne Rouergue Velay";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/rouergue.htm"
"Lavaudieu";"Auvergne Rouergue Velay";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/clermont.htm"
"Le Puy";"Auvergne Rouergue Velay";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/clermont.htm"
"Virargu";"Auvergne Rouergue Velay";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/rouergue.htm"
"Aleyrac ";"Provence";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/tricastin.htm"
"Bonlieu ";"Provence";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/provence.htm"
"Comps ";"Provence";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/provence.htm"
"Cruas ";"Provence";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/provence.htm"
"La Garde-Adhemar";"Provence";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/tricastin.htm"
"Larnas ";"Provence";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/provence.htm"
"Le Thor ";"Provence";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/provence.htm"
"Maguelone ";"Provence";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/stgilles.htm"
"Rochebaudin";"Provence";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/tricastin.htm"
"Roussas";"Provence";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/tricastin.htm"
"Saint Paul Trois Chateaux ";"Provence";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/tricastin.htm"
"Saint Restitut";"Provence";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/tricastin.htm"
"Saint-Gilles ";"Provence";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/stgilles.htm"
"Saint Remy de Provence ";"Provence";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/stremy.htm"
"Sénanque ";"Provence";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/silvacane.html"
"Silvacane ";"Provence";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/silvacane.html"
