"Id";;"Editeur";"Collection/Ref";"Lang";"Titre";"Auteur";"Année";"ISBN";"Image";"URL"
179;;"Zodiaque";"RM";"FR";"art et sagesses du Tibet";;;;;
180;;"Zodiaque";"PC21 ";"FR";" Anges et démons ";;;;;
181;;"Zodiaque";"PC ";"FR";"Auxerre et Marie-Noël";;;;;
182;;"Zodiaque";"PC 25";"FR";"Bestiaire roman ";;;;;
183;;"Zodiaque";"PC ";"FR";"Christs en croix romans I (2e edition)";;;;;
184;;"Zodiaque";"PC ";"FR";"Christs en croix romans II ";;;;;
185;;"Zodiaque";"PC ";"FR";"Bible de Saint";;;;;
186;;"Zodiaque";"PC ";"FR";"Les chemins de Compostelle";;;;;
187;;"Zodiaque";"PC ";"FR";"Esprit de Citeaux";;;;;
188;;"Zodiaque";"PC ";"FR";"Esprit de Cluny ";;;;;
189;;"Zodiaque";"PC ";"FR";"Jours de l'apocalypse ";;;;;
190;;"Zodiaque";"PC 6 ";"FR";"Jours de la passion ";;;;;
191;;"Zodiaque";"PC 2 ";"FR";"Jours de la Nativité";;;;;
192;;"Zodiaque";"PC ";"FR";"Message de Tournus ";;;;;
193;;"Zodiaque";"PC 1 ";"FR";"Monde d'Autun ";;;;;
194;;"Zodiaque";"PC 3 ";"FR";"Monde (Le) de Chartres ";;;;;
195;;"Zodiaque";"PC ";"FR";"Monde des cryptes";;;;;
196;;"Zodiaque";"PC ";"FR";"Monde de Vézelay ";;;;;
197;;"Zodiaque";"PC 5 ";"FR";"Mont Saint Michel";;;;;
198;;"Zodiaque";"PC ";"FR";"Saint Benoit sur Loire ";;;;;
199;;"Zodiaque";"PC ";"FR";"Sainte Foy de Conques ";;;;;
200;;"Zodiaque";"PC ";"FR";"Tympans romans I ";;;;;
201;;"Zodiaque";"PC 13";"FR";"Tympans romans II ";;;;;
202;;"Zodiaque";"PC ";"FR";"Vie de la Vierge";;;;;
203;;"Zodiaque";"PC 4 ";"FR";"Vierges romanes";;;;;
204;;"Zodiaque";"CP";"FR";"Avignon, le palais des papes";;;;;
205;;"Zodiaque";"CP";"FR";"Strasbourg. La cathédrale";;;;;
206;;"Zodiaque";"CP";"FR";"Reims, la cathédrale";;;;;
207;;"Zodiaque";"CP";"FR";"Chartres, la cathédrale";;;;;
208;;"Zodiaque";"CP";"FR";"Bourges, la cathédrale";;;;;
209;;"Zodiaque";"CP";"FR";"Saint Denis, la basilique";;;;;
210;;"Zodiaque";"CP";"FR";"Laon, la cathédrale";;;;;
211;;"Zodiaque";"CP";"FR";"Quimper, la cathédrale";;;;;
212;;"Zodiaque";"ET";"FR";"Romanische Spannien";;;;;
213;;"Zodiaque";"ET";"DE";"Die Kuntz der Zisterzienser";;;;;
214;;"Zodiaque";"ET";"DE";"Romanische Auvergne";;;;;
215;;"Zodiaque";"ET";"DE";"Romanische Burgund";;;;;
216;;"Zodiaque";"ET";"DE";"Romanik der Ile-de-France";;;;;
217;;"Zodiaque";"ET";"DE";"Die Kaiserdome Speyer, Mainz, Worms";;;;;
218;;"Zodiaque";"ET";"DE";"Cote d'Azur";;;;;
219;;"Zodiaque";"ET";"DE";"Hoch Provence";;;;;
220;;"Zodiaque";"ET";"DE";"Romanische Normandie Ost";;;;;
221;;"Zodiaque";"ET";"DE";"Romanische Normandie West";;;;;
222;;"Zodiaque";"ET";"DE";"Romanische Elsass";;;;;
223;;"Zodiaque";"ET";"DE";"Romanische Schweiss";;;;;
224;;"Zodiaque";"ET";"DE";"Romanik in Westphalen";;;;;
225;;"Zodiaque";"ET";"DE";"Symbole";;;;;
226;;"Zodiaque";"ET";"DE";"Reisewege durch die Provence";;;;;
227;;"Zodiaque";"ET";"DE";"Reisewege durch das Languedoc";;;;;
228;;"Zodiaque";"ET";"DE";"Romanische Kreuzgange in Frankreich";;;;;
229;;"Zodiaque";"ET";"DE";"Romanik Sachsen";;;;;
230;;"Zodiaque";"ET";"DE";"Die Welt der Zisterzienser";;;;;
231;;"Zodiaque";"ET";"DE";"Lexikon";;;;;
232;;"Zodiaque";"ET";"DE";"Frauen bilder im mittelalter";;;;;
233;;"Zodiaque";"ET";"DE";"Engel und ihr bild im mittelalter";;;;;
234;;"Zodiaque";"ET";"DE";"Die Bildwelt der Romanik";;;;;
235;;"Zodiaque";"ET";"DE";"Romans Nederland";;;;;
236;;"Zodiaque";"ET";"DE";"Das Jüngste Gericht";;;;;
237;;"Zodiaque";"ET";"DE";"Romanische Frankreich (XII°s)";;;;;
238;;"Zodiaque";"ET";"DE";"Strasbourg";;;;;
239;;"Zodiaque";"ET";"DE";"Reims";;;;;
240;;"Zodiaque";"ET";"DE";"Chartres";;;;;
241;"G1";"Könemann";;"FR";"L'art roman";"Rolf Toman, Achim Bednorz";;3895084484;"http://images-eu.amazon.com/images/P/3895084484.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/3895084484/ref=ase_enef-21/402-5551720-9281739"
242;"G1";"Mengès";;"FR";"Histoire de l'architecture française, tome 1 : Du Moyen Age à la Renaissance, IVe siècle - début XVIe siècle";" Alain Erlande-Brandenburg, Anne-Bénédicte Mérel-Brandenburg";;2856203671;"http://images-eu.amazon.com/images/P/2856203671.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2856203671/ref=ase_enef-21/402-5551720-9281739"
243;"G1";"Editions de La Martinière";;"FR";"L'Architecture du silence";"Terryl N. Kinder, David Heald";;2732426709;"http://images-eu.amazon.com/images/P/2732426709.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2732426709/ref=ase_enef-21/402-5551720-9281739"
244;"G2";"L'Instant durable ";;"FR;EN";"Sculpteurs au Moyen Age : L'Univers fantastique des chapiteaux romans";;"Eric de Bussac, Alain Berghmans";;"286404076X";"http://images-eu.amazon.com/images/P/286404076X.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/286404076X/ref=ase_enef-21/402-5551720-9281739"
245;"G2";"Le Seuil";;"FR";"Figures Romanes";"Franck Horvat";;"202051687X";"http://www.alapage.com/get_img.php?cgi=livre_l&ref=l_isbn&num_ref=202051687Xl";"http://www.alapage.com/mx/?type=1&tp=F&donnee_appel=PIEWI&l_isbn=202051687X"
246;"G2";"Grand-Midi ";;"FR";"La sculpture figurée des arcs romans de France";"Myrielle Boss-Favre ";;2880931169;"http://www.romanes.com/biblio/livre116.gif";"http://www.amazon.fr/gp/product/2880931169/enef-21/402-5551720-9281739"
247;"G2";"Editions du Rocher ";"La pierre philosophale ";"FR";"Les symboles de l'art roman";"Anne et Robert Blanc";;2268031624;"http://images-eu.amazon.com/images/P/2268031624.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2268031624/ref=ase_enef-21/402-5551720-9281739"
248;"G2";"Patrimoine";"Monumental";"FR";"Monumental. La Sculpture monumentale - numéro 10-11, décembre 1995";"Collectif";;2858222126;"http://images-eu.amazon.com/images/P/2858222126.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2858222126/enef-21/402-5551720-9281739"
